;annosolare;corso_codice;materia_codice;esamisuperati;t_voti;m_voti
count;20226.0;20226.0;20226.0;20226.0;20226.0;20226.0
mean;2017.9863541975674;5932.631019479877;45385.79476910907;34.51191535647187;918.3747651537625;26.68026302778602
std;0.99993161097491;3735.920721911842;28571.856515376847;65.04004799494027;1719.8090478026445;2.755009021682533
min;2017.0;2.0;6.0;1.0;18.0;18.0
25%;2017.0;962.0;24544.0;2.0;60.0;25.0
50%;2017.0;8406.0;39209.0;12.0;321.0;27.0
75%;2019.0;8835.0;73273.0;39.0;1051.75;29.0
max;2019.0;9257.0;97119.0;1024.0;28031.0;30.0
